# Constructed from biom file
#OTU ID	CS1	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS2	CS20	CS3	CS4	CS5	CS6	CS7	CS8	CS9	RBS1	RBS12	RBS13	RBS15	RBS3	RBS4	RBS5	RBS6	RBS9	RSS1	RSS10	RSS11	RSS2	RSS3	RSS4	RSS5	RSS6	RSS7	RSS8	RSS9	S_1	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_2	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_28	S_29	S_3	S_30	S_31	S_32	S_34	S_35	S_36	S_37	S_38	S_39	S_4	S_40	S_41	S_42	S_43	S_44	S_46	S_47	S_47A	S_48	S_49	S_5	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_6	S_60	S_61	S_62	S_63	S_64	S_66	S_68	S_69	S_7	S_70	S_71	S_72	S_73	S_74	S_75	S_76	S_77	S_78	S_79	S_8	S_80	S_81	S_82	S_83	S_84	S_85	S_86	S_87	S_88	S_89	S_9	S_93	S_94	S_95
d__Bacteria;p__Pseudomonadota	4.0	866.0	23766.0	3236.0	151.0	377.0	27.0	141.0	635.0	89.0	23.0	22.0	18.0	12.0	3859.0	2599.0	10870.0	9217.0	18.0	6813.0	45.0	7.0	13.0	126.0	13.0	2505.0	336.0	13267.0	309.0	2.0	11654.0	73.0	429.0	4144.0	1.0	36.0	33.0	46.0	18.0	289.0	11170.0	11684.0	304.0	992.0	30.0	158.0	782.0	9.0	27.0	904.0	58.0	41.0	34007.0	9820.0	2719.0	428.0	9.0	4432.0	4017.0	7.0	4266.0	96.0	4055.0	5.0	11.0	9.0	14.0	26.0	8.0	15.0	27.0	3615.0	65.0	50.0	233.0	9.0	17.0	73.0	3.0	53.0	2.0	16222.0	70.0	0.0	334.0	9333.0	2.0	96.0	14183.0	82.0	8827.0	32.0	15.0	40.0	98.0	118.0	14.0	0.0	177.0	20.0	205.0	40.0	24.0	73.0	87.0	18.0	563.0	66.0	240.0	7772.0	36209.0	101.0	38.0	20287.0	36.0	15.0	4425.0	47349.0	46.0	0.0	8.0	490.0	183.0	121.0	98.0	1742.0	76.0	17.0
d__Bacteria;p__Bacillota_A_368345	7734.0	38717.0	26399.0	6333.0	24072.0	19326.0	11917.0	20367.0	39651.0	17810.0	16163.0	6101.0	31439.0	14753.0	17590.0	14269.0	9470.0	8499.0	19507.0	8882.0	10462.0	10936.0	5347.0	3545.0	12731.0	28421.0	8236.0	4670.0	18422.0	1848.0	6286.0	10738.0	1009.0	26906.0	25985.0	28195.0	4239.0	10425.0	10735.0	49510.0	24621.0	16925.0	16040.0	24539.0	37283.0	21121.0	12550.0	18188.0	34078.0	37939.0	13677.0	24120.0	6363.0	14260.0	14812.0	26391.0	27539.0	21317.0	26108.0	3262.0	16141.0	25104.0	14284.0	1451.0	13896.0	8057.0	32939.0	17008.0	22032.0	1085.0	29217.0	18485.0	9666.0	14156.0	10203.0	35020.0	10983.0	10040.0	35881.0	10025.0	52497.0	10695.0	1737.0	33894.0	48771.0	17916.0	61755.0	74251.0	51454.0	51188.0	25325.0	26262.0	1571.0	16568.0	19917.0	27491.0	21376.0	10024.0	14434.0	40172.0	7168.0	12679.0	16418.0	11760.0	12351.0	3695.0	12447.0	13069.0	34887.0	16020.0	9420.0	19743.0	17338.0	12524.0	6990.0	9442.0	7233.0	11842.0	17922.0	11132.0	12497.0	33890.0	68419.0	20332.0	15601.0	13396.0	27605.0	10573.0
d__Bacteria;p__Bacteroidota	195.0	107.0	153.0	132.0	178.0	84.0	230.0	94.0	34.0	279.0	196.0	109.0	192.0	181.0	65.0	366.0	133.0	405.0	22.0	114.0	123.0	239.0	19.0	196.0	224.0	210.0	135.0	11853.0	257.0	152.0	251.0	304.0	97.0	1636.0	51.0	250.0	129.0	345.0	422.0	11.0	91.0	147.0	81.0	33.0	100.0	120.0	109.0	53.0	137.0	3966.0	143.0	142.0	43.0	367.0	25.0	228.0	80.0	155.0	63.0	62.0	79.0	134.0	12227.0	46.0	68.0	126.0	93.0	158.0	155.0	20.0	111.0	126.0	334.0	37.0	968.0	421.0	85.0	42.0	3.0	162.0	2.0	4.0	55.0	4.0	9.0	0.0	0.0	12.0	19.0	7.0	151.0	204.0	71.0	50.0	158.0	334.0	120.0	81.0	159.0	107.0	148.0	241.0	51.0	138.0	226.0	166.0	161.0	285.0	99.0	167.0	251.0	137.0	422.0	154.0	143.0	140.0	16749.0	100.0	294.0	42.0	24.0	185.0	916.0	74.0	196.0	278.0	225.0	147.0
d__Bacteria;p__Actinomycetota	32.0	258.0	84.0	246.0	46.0	10.0	38.0	135.0	262.0	40.0	8.0	67.0	107.0	708.0	219.0	62.0	111.0	10.0	85.0	34.0	11.0	8501.0	266.0	5.0	94.0	39.0	102.0	851.0	235.0	2.0	159.0	642.0	65.0	229.0	437.0	781.0	32.0	19.0	308.0	627.0	271.0	61.0	18.0	62.0	155.0	90.0	49.0	91.0	102.0	529.0	13.0	110.0	66.0	132.0	2.0	87.0	325.0	267.0	460.0	119.0	191.0	57.0	284.0	229.0	52.0	148.0	19.0	17.0	184.0	5.0	168.0	107.0	109.0	307.0	73.0	200.0	205.0	0.0	1275.0	17.0	1809.0	661.0	89.0	2836.0	3475.0	648.0	772.0	326.0	1313.0	1446.0	249.0	328.0	31.0	27.0	100.0	56.0	464.0	141.0	108.0	274.0	8.0	59.0	470.0	24.0	15.0	4.0	197.0	259.0	0.0	28.0	55.0	11.0	40.0	140.0	96.0	42.0	850.0	116.0	507.0	105.0	11.0	107.0	25.0	21.0	292.0	70.0	12.0	20.0
d__Archaea;p__Methanobacteriota_A_1229	0.0	5.0	379.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	7.0	0.0	0.0	0.0	0.0	0.0	1357.0	14.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	6.0	0.0	0.0	0.0	3.0	22.0	104.0	147.0	3.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	18.0	26.0	0.0	0.0	21.0	0.0	601.0	931.0	503.0	811.0	0.0	416.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	826.0	5.0	0.0	4685.0	0.0	0.0	0.0	14.0	0.0	0.0	44.0	1037.0	0.0	0.0	4.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	38.0	65.0	23.0	161.0	347.0	0.0	0.0	436.0	0.0	0.0	92.0	0.0	1117.0	0.0	0.0	0.0	38.0	0.0	0.0	70.0	204.0	0.0
d__Bacteria;p__Cyanobacteriota	96.0	397.0	256.0	2230.0	324.0	0.0	0.0	0.0	0.0	2.0	0.0	2605.0	0.0	0.0	0.0	5.0	0.0	2527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	149.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	3358.0	706.0	23.0	12.0	98.0	48.0	0.0	15.0	0.0	28.0	14.0	0.0	0.0	28.0	0.0	0.0	0.0	40.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	21.0	0.0	22.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	133.0	0.0	0.0	178.0	0.0	9.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	26.0	10.0
d__Bacteria;__	33.0	198.0	208.0	152.0	78.0	22.0	64.0	204.0	435.0	137.0	1.0	84.0	123.0	185.0	74.0	64.0	68.0	25.0	153.0	36.0	800.0	246.0	7.0	12.0	59.0	664.0	183.0	630.0	327.0	130.0	22.0	57.0	26.0	99.0	115.0	33.0	588.0	183.0	95.0	553.0	349.0	50.0	41.0	88.0	45.0	146.0	51.0	25.0	221.0	217.0	40.0	94.0	121.0	269.0	1092.0	498.0	153.0	492.0	307.0	15.0	183.0	66.0	807.0	23.0	26.0	296.0	39.0	5.0	176.0	17.0	332.0	67.0	101.0	112.0	32.0	109.0	35.0	20.0	416.0	99.0	169.0	12.0	0.0	323.0	1118.0	71.0	387.0	127.0	224.0	746.0	541.0	133.0	14.0	59.0	55.0	133.0	201.0	110.0	24.0	331.0	27.0	103.0	106.0	63.0	50.0	18.0	113.0	198.0	6.0	525.0	290.0	40.0	84.0	354.0	16.0	4.0	970.0	121.0	512.0	195.0	33.0	97.0	53.0	51.0	158.0	213.0	114.0	31.0
d__Bacteria;p__Fusobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	898.0	61.0	11.0	3.0	0.0	0.0	0.0	48.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	2169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3554.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Thermoproteota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	1448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	530.0	65.0	4.0	0.0	0.0	0.0	0.0	68.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	0.0	3.0	0.0	2421.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	34.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0
